Serviceeinrichtung";"Stationspreis SPFV - Anteil
Serviceeinrichtung";Bemerkung
390;TLBV;Ballstädt (Kr Gotha);7;Thüringen;2,70 €;7,22 €;
391;ZPS;Baltersweiler;6;Saarland;1,54 €;4,04 €;
392;NWL;Balve;6;Nordrhein-Westfalen;3,85 €;9,87 €;
393;BEG;Bamberg;2;Bayern;13,72 €;36,53 €;
394;VM BW;Bammental;6;Baden-Württemberg;2,35 €;6,18 €;
398;LNVG;Banteln;6;Niedersachsen;4,23 €;10,34 €;
400;RH;Bantorf;5;Niedersachsen;4,35 €;11,59 €;
7185;ZÖPNV Süd;Barbelroth;7;Rheinland-Pfalz;1,49 €;4,01 €;
402;LNVG;Bardowick;6;Niedersachsen;4,23 €;10,34 €;
403;VVO;Bärenhecke-Johnsbach;7;Sachsen;2,46 €;6,58 €;
405;VBB;Bärenklau;7;Brandenburg;3,21 €;8,56 €;
406;VVO;Bärenstein (b Glashütte/Sachs);6;Sachsen;2,85 €;7,61 €;
408;NAH.SH;Bargteheide;4;Schleswig-Holstein;4,78 €;12,76 €;
410;NASA;Barleben;6;Sachsen-Anhalt;3,34 €;8,90 €;
411;NASA;Barleber See;6;Sachsen-Anhalt;3,34 €;8,90 €;
412;BWVI;Barmbek;4;Hamburg;2,79 €;6,93 €;
414;LNVG;Barnstorf (Han);5;Niedersachsen;4,79 €;12,40 €;
415;LNVG;Barnten;6;Niedersachsen;4,23 €;10,34 €;
416;LNVG;Barrien;6;Niedersachsen;4,23 €;10,34 €;
418;RH;Barsinghausen;5;Niedersachsen;4,35 €;11,59 €;
420;ZVV;Barthmühle;6;Sachsen;3,51 €;9,38 €;
421;VBB;Baruth (Mark);6;Brandenburg;3,98 €;10,22 €;
425;LNVG;Bassum;4;Niedersachsen;4,96 €;13,09 €;
426;VM BW;Batzenhäusle;6;Baden-Württemberg;2,35 €;6,18 €;
427;BEG;Batzhausen;6;Bayern;2,89 €;7,59 €;
429;BEG;Bäumenheim;6;Bayern;2,89 €;7,59 €;
430;VBB Berlin;Baumschulenweg;4;Berlin;2,00 €;5,33 €;
431;BEG;Baunach;6;Bayern;2,89 €;7,59 €;
2420;NVV;Baunatal-Guntershausen;5;Hessen;1,98 €;5,13 €;
5224;NVV;Baunatal-Rengershausen;6;Hessen;2,73 €;7,26 €;
432;ZVON;Bautzen;4;Sachsen;8,22 €;21,92 €;
433;LNVG;Bavendorf;7;Niedersachsen;2,85 €;7,60 €;
435;BEG;Bayerisch Eisenstein;6;Bayern;2,89 €;7,59 €;
436;BEG;Bayerisch Gmain;6;Bayern;2,89 €;7,59 €;
439;BEG;Bayreuth Hbf;3;Bayern;4,75 €;12,53 €;
441;BEG;Bayrischzell;6;Bayern;2,89 €;7,59 €;
442;NASA;Bebitz;7;Sachsen-Anhalt;2,77 €;7,39 €;
443;NVV;Bebra;3;Hessen;16,00 €;42,71 €;
446;ZPS;Beckingen (Saar);6;Saarland;1,54 €;4,04 €;
4361;NWL;Beckum-Neubeckum;4;Nordrhein-Westfalen;5,03 €;11,82 €;Name alt: Neubeckum
447;go.R;Bedburg (Erft);6;Nordrhein-Westfalen;3,77 €;8,76 €;
448;VRR;Bedburg-Hau;6;Nordrhein-Westfalen;2,76 €;7,00 €;
450;NWL;Beelen;6;Nordrhein-Westfalen;3,85 €;9,87 €;
451;VBB;Beelitz Stadt;6;Brandenburg;3,98 €;10,22 €;
452;VBB;Beelitz-Heilstätten;6;Brandenburg;3,98 €;10,22 €;
2753;RMV;Beerfelden-Hetzbach;6;Hessen;2,48 €;6,52 €;
456;VBB;Beeskow;6;Brandenburg;3,98 €;10,22 €;
458;VBB;Beetz-Sommerfeld;6;Brandenburg;3,98 €;10,22 €;
463;BEG;Behringersdorf;6;Bayern;2,89 €;7,59 €;
464;RMV;Beienheim;5;Hessen;2,40 €;6,30 €;
467;ZVNL;Beilrode;6;Sachsen;2,56 €;6,83 €;
468;VM BW;Beimerstetten;6;Baden-Württemberg;2,35 €;6,18 €;
470;NAH.SH;Beldorf;7;Schleswig-Holstein;2,21 €;5,91 €;
472;ZVNL;Belgershain;6;Sachsen;2,56 €;6,83 €;
473;NASA;Belleben;7;Sachsen-Anhalt;2,77 €;7,39 €;
474;BEG;Bellenberg;6;Bayern;2,89 €;7,59 €;
475;VBB Berlin;Bellevue;4;Berlin;2,00 €;5,33 €;
476;ZÖPNV Süd;Bellheim;6;Rheinland-Pfalz;1,99 €;5,22 €;
8201;ZÖPNV Süd;Bellheim Am Mühlbuckel;6;Rheinland-Pfalz;1,99 €;5,22 €;
479;VM BW;Bempflingen;6;Baden-Württemberg;2,35 €;6,18 €;
480;BEG;Benediktbeuern;6;Bayern;2,89 €;7,59 €;
481;ZVRP Nord;Bengel;6;Rheinland-Pfalz;2,27 €;5,85 €;
482;RH;Bennemühlen;5;Niedersachsen;4,35 €;11,59 €;
6951;ZVNL;Bennewitz;6;Sachsen;2,56 €;6,83 €;
483;RH;Bennigsen;5;Niedersachsen;4,35 €;11,59 €;
484;VRStutt;Benningen (Neckar);5;Baden-Württemberg;2,09 €;5,58 €;
486;NASA;Bennungen;6;Sachsen-Anhalt;3,34 €;8,90 €;
487;TLBV;Benshausen;7;Thüringen;2,70 €;7,22 €;
488;VRN;Bensheim;4;Hessen;3,47 €;8,57 €;
489;VRN;Bensheim-Auerbach;5;Hessen;4,94 €;13,18 €;
490;VMV;Bentwisch;6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
491;BEG;Beratzhausen;5;Bayern;2,72 €;7,01 €;
495;BEG;Berchtesgaden Hbf;5;Bayern;2,72 €;7,01 €;
6353;ZÖPNV Süd;Berg (Pfalz);7;Rheinland-Pfalz;1,49 €;4,01 €;
496;TLBV;Berga (Elster);6;Thüringen;3,43 €;9,13 €;
497;NASA;Berga-Kelbra;6;Sachsen-Anhalt;3,34 €;8,90 €;
498;BEG;Bergen (Oberbay);6;Bayern;2,89 €;7,59 €;
499;VMV;Bergen auf Rügen;3;Mecklenburg-Vorpommern;27,07 €;69,66 €;
500;VM BW;Bergenweiler;7;Baden-Württemberg;1,90 €;5,07 €;
503;VBB;Bergfelde (b Berlin);5;Brandenburg;3,44 €;9,13 €;
504;NWL;Berghausen;7;Nordrhein-Westfalen;2,48 €;6,41 €;
506;ZÖPNV Süd;Berghausen (Pfalz);6;Rheinland-Pfalz;1,99 €;5,22 €;
507;go.R;Bergheim (Erft);6;Nordrhein-Westfalen;3,77 €;8,76 €;
512;go.R;Bergisch Gladbach;5;Nordrhein-Westfalen;2,69 €;7,09 €;
515;VBB;Bergsdorf;7;Brandenburg;3,21 €;8,56 €;
516;BEG;Bergtheim;6;Bayern;2,89 €;7,59 €;
517;NASA;Bergwitz;6;Sachsen-Anhalt;3,34 €;8,90 €;
520;NWL;Beringhausen;7;Nordrhein-Westfalen;2,48 €;6,41 €;
521;NAH.SH;Beringstedt;7;Schleswig-Holstein;2,21 €;5,91 €;
524;VBB;Berkenbrück;6;Brandenburg;3,98 €;10,22 €;
525;VBB Berlin;Berlin Anhalter Bahnhof;3;Berlin;3,81 €;10,19 €;
6340;VBB Berlin;Berlin Brandenburger Tor;4;Berlin;2,00 €;5,33 €;
526;VBB Berlin;Berlin Frankfurter Allee;4;Berlin;2,00 €;5,33 €;
528;VBB Berlin;Berlin Gesundbrunnen;1;Berlin;18,88 €;50,37 €;Name alt: Berlin-Gesundbrunnen
1071;VBB Berlin;Berlin Hauptbahnhof;1;Berlin;18,88 €;50,37 €;
530;VBB Berlin;Berlin Ostbahnhof;1;Berlin;18,88 €;50,37 €;
4809;VBB Berlin;Berlin Ostkreuz;3;Berlin;3,81 €;10,19 €;
5016;VBB Berlin;Berlin Potsdamer Platz;2;Berlin;9,69 €;25,85 €;
4859;VBB Berlin;Berlin Südkreuz;1;Berlin;18,88 €;50,37 €;
533;VBB Berlin;Berlin Zoologischer Garten;2;Berlin;9,69 €;25,85 €;
534;VBB Berlin;Berlin-Adlershof;4;Berlin;2,00 €;5,33 €;
535;VBB Berlin;Berlin-Blankenburg;4;Berlin;2,00 €;5,33 €;
536;VBB Berlin;Berlin-Buch;4;Berlin;2,00 €;5,33 €;
537;VBB Berlin;Berlin-Charlottenburg;3;Berlin;3,81 €;10,19 €;
569;BWVI;Berliner Tor;3;Hamburg;2,76 €;7,25 €;
538;VBB Berlin;Berlin-Friedrichshagen;4;Berlin;2,00 €;5,33 €;
527;VBB Berlin;Berlin-Friedrichstraße;2;Berlin;9,69 €;25,85 €;
539;VBB Berlin;Berlin-Frohnau;4;Berlin;2,00 €;5,33 €;
540;VBB Berlin;Berlin-Grünau;4;Berlin;2,00 €;5,33 €;
541;VBB Berlin;Berlin-Grunewald;4;Berlin;2,00 €;5,33 €;
542;VBB Berlin;Berlin-Halensee;4;Berlin;2,00 €;5,33 €;
543;VBB Berlin;Berlin-Hermsdorf;4;Berlin;2,00 €;5,33 €;
544;VBB Berlin;Berlin-Hohenschönhausen;3;Berlin;3,81 €;10,19 €;
545;VBB Berlin;Berlin-Karlshorst;3;Berlin;3,81 €;10,19 €;
546;VBB Berlin;Berlin-Karow;4;Berlin;2,00 €;5,33 €;
547;VBB Berlin;Berlin-Kaulsdorf;4;Berlin;2,00 €;5,33 €;
548;VBB Berlin;Berlin-Köpenick;4;Berlin;2,00 €;5,33 €;
549;VBB Berlin;Berlin-Lichtenberg;2;Berlin;9,69 €;25,85 €;
7720;VBB Berlin;Berlin-Lichterfelde Ost;3;Berlin;3,81 €;10,19 €;
550;VBB Berlin;Berlin-Lichterfelde West;4;Berlin;2,00 €;5,33 €;
551;VBB Berlin;Berlin-Mahlsdorf;4;Berlin;2,00 €;5,33 €;
552;VBB Berlin;Berlin-Marienfelde;5;Berlin;1,96 €;5,19 €;
553;VBB Berlin;Berlin-Marzahn;4;Berlin;2,00 €;5,33 €;
554;VBB Berlin;Berlin-Neukölln;4;Berlin;2,00 €;5,33 €;
532;VBB Berlin;Berlin-Nordbahnhof;4;Berlin;2,00 €;5,33 €;
555;VBB Berlin;Berlin-Pankow;5;Berlin;1,96 €;5,19 €;
556;VBB Berlin;Berlin-Rummelsburg;4;Berlin;2,00 €;5,33 €;
557;VBB Berlin;Berlin-Schlachtensee;4;Berlin;2,00 €;5,33 €;
559;VBB Berlin;Berlin-Schöneweide Pbf;3;Berlin;3,81 €;10,19 €;
560;VBB Berlin;Berlin-Schönholz;4;Berlin;2,00 €;5,33 €;
561;VBB Berlin;Berlin-Spandau;2;Berlin;9,69 €;25,85 €;
563;VBB Berlin;Berlin-Spindlersfeld;5;Berlin;1,96 €;5,19 €;
564;VBB Berlin;Berlin-Staaken;6;Berlin;2,00 €;5,32 €;
7721;VBB Berlin;Berlin-Tegel;5;Berlin;1,96 €;5,19 €;
565;VBB Berlin;Berlin-Tempelhof;4;Berlin;2,00 €;5,33 €;
566;VBB Berlin;Berlin-Wannsee;2;Berlin;9,69 €;25,85 €;
6723;VBB Berlin;Berlin-Westkreuz;3;Berlin;3,81 €;10,19 €;
567;VBB Berlin;Berlin-Wilhelmsruh;4;Berlin;2,00 €;5,33 €;
568;VBB Berlin;Berlin-Zehlendorf;4;Berlin;2,00 €;5,33 €;
570;VM BW;Bermatingen-Ahausen;6;Baden-Württemberg;2,35 €;6,18 €;
571;VBB;Bernau (b Berlin);3;Brandenburg;7,57 €;20,21 €;
572;BEG;Bernau a. Chiemsee;5;Bayern;2,72 €;7,01 €;
7910;VBB;Bernau-Friedenstal;5;Brandenburg;3,44 €;9,13 €;
573;NASA;Bernburg Hbf;5;Sachsen-Anhalt;3,29 €;8,62 €;
8233;NASA;Bernburg-Roschwitz;6;Sachsen-Anhalt;3,34 €;8,90 €;
575;NASA;Bernburg-Strenzfeld;6;Sachsen-Anhalt;3,34 €;8,90 €;
576;NASA;Bernburg-Waldau Hp;7;Sachsen-Anhalt;2,77 €;7,39 €;
577;LNVG;Berne;6;Niedersachsen;4,23 €;10,34 €;
578;BEG;Bernried;6;Bayern;2,89 €;7,59 €;
580;TLBV;Bernterode;6;Thüringen;3,43 €;9,13 €;
581;LNVG;Bersenbrück;6;Niedersachsen;4,23 €;10,34 €;
583;VMS;Berthelsdorf (Erzgeb);7;Sachsen;2,75 €;7,32 €;
585;ZVRP Nord;Berzhahn;7;Rheinland-Pfalz;2,00 €;4,62 €;
587;ZPS;Besch;6;Saarland;1,54 €;4,04 €;
588;VM BW;Besigheim;5;Baden-Württemberg;2,91 €;7,35 €;
589;ZPS;Besseringen;6;Saarland;1,54 €;4,04 €;
590;VBB;Bestensee;6;Brandenburg;3,98 €;10,22 €;
591;NWL;Bestwig;6;Nordrhein-Westfalen;3,85 €;9,87 €;
592;VBB Berlin;Betriebsbahnhof Berlin-Rummelsburg;4;Berlin;2,00 €;5,33 €;
596;BEG;Bettmannsäge;7;Bayern;2,13 €;5,65 €;
597;ZVRP Nord;Betzdorf (Sieg);3;Rheinland-Pfalz;4,59 €;11,17 €;
599;ZVNL;Beucha;6;Sachsen;2,56 €;6,83 €;
602;VM BW;Beuggen;6;Baden-Württemberg;2,35 €;6,18 €;
603;NASA;Beuna (Geiseltal);6;Sachsen-Anhalt;3,34 €;8,90 €;
604;TLBV;Beuren;6;Thüringen;3,43 €;9,13 €;
605;VM BW;Beuron;7;Baden-Württemberg;1,90 €;5,07 €;
7726;VBB Berlin;Beusselstraße;4;Berlin;2,00 €;5,33 €;
606;VRStutt;Beutelsbach;5;Baden-Württemberg;2,09 €;5,58 €;
607;VBB;Beutersitz;6;Brandenburg;3,98 €;10,22 €;
7958;NWL;Beverungen-Wehrden;7;Nordrhein-Westfalen;2,48 €;6,41 €;
609;ZPS;Bexbach;6;Saarland;1,54 €;4,04 €;
610;NASA;Beyendorf;6;Sachsen-Anhalt;3,34 €;8,90 €;
612;VM BW;Biberach (Baden);5;Baden-Württemberg;2,91 €;7,35 €;
613;VM BW;Biberach (Riß);4;Baden-Württemberg;3,92 €;10,18 €;
6918;VM BW;Biberach Süd;5;Baden-Württemberg;2,91 €;7,35 €;
614;VRN;Biblis;4;Hessen;3,47 €;8,57 €;
615;TLBV;Bibra;7;Thüringen;2,70 €;7,22 €;
616;BEG;Bichl;6;Bayern;2,89 €;7,59 €;
618;RMV;Bickenbach (Bergstr);5;Hessen;2,40 €;6,30 €;
619;RMV;Biebesheim;5;Hessen;2,40 €;6,30 €;
621;NASA;Biederitz;5;Sachsen-Anhalt;3,29 €;8,62 €;
622;NWL;Bielefeld Hbf;2;Nordrhein-Westfalen;13,97 €;35,99 €;
623;NWL;Bielefeld Ost;6;Nordrhein-Westfalen;3,85 €;9,87 €;
811;NWL;Bielefeld-Brackwede;4;Nordrhein-Westfalen;5,03 €;11,82 €;Name alt: Brackwede
8281;NWL;Bielefeld-Senne;7;Nordrhein-Westfalen;2,48 €;6,41 €;
5825;NWL;Bielefeld-Sennestadt;6;Nordrhein-Westfalen;3,85 €;9,87 €;Name alt: Sennestadt
6792;NWL;Bielefeld-Windelsbleiche;7;Nordrhein-Westfalen;2,48 €;6,41 €;Name alt: Windelsbleiche
624;NASA;Biendorf;6;Sachsen-Anhalt;3,34 €;8,90 €;
625;LNVG;Bienenbüttel;5;Niedersachsen;4,79 €;12,40 €;
626;VMS;Bienenmühle;6;Sachsen;3,63 €;9,66 €;
627;ZPS;Bierbach;7;Saarland;2,20 €;5,86 €;
628;NWL;Bieren-Rödinghausen;7;Nordrhein-Westfalen;2,48 €;6,41 €;
629;VM BW;Bieringen;6;Baden-Württemberg;2,35 €;6,18 €;
631;VBB Berlin;Biesdorf;4;Berlin;2,00 €;5,33 €;
632;NASA;Biesenrode;7;Sachsen-Anhalt;2,77 €;7,39 €;
633;VBB;Biesenthal;6;Brandenburg;3,98 €;10,22 €;
634;BEG;Biessenhofen;5;Bayern;2,72 €;7,01 €;
635;VM BW;Bietigheim (Baden);5;Baden-Württemberg;2,91 €;7,35 €;
636;VM BW;Bietigheim-Bissingen;2;Baden-Württemberg;15,35 €;40,77 €;
637;VM BW;Bietingen;6;Baden-Württemberg;2,35 €;6,18 €;
639;NWL;Bigge;6;Nordrhein-Westfalen;3,85 €;9,87 €;
640;ZPS;Bildstock;6;Saarland;1,54 €;4,04 €;
642;BEG;Billenhausen;7;Bayern;2,13 €;5,65 €;
643;NWL;Billerbeck;6;Nordrhein-Westfalen;3,85 €;9,87 €;
644;BWVI;Billwerder-Moorfleet;5;Hamburg;3,94 €;7,00 €;
645;VM BW;Binau;6;Baden-Württemberg;2,35 €;6,18 €;
647;NASA;Bindfelde;7;Sachsen-Anhalt;2,77 €;7,39 €;
648;BEG;Bindlach;6;Bayern;2,89 €;7,59 €;
649;ZÖPNV Süd;Bingen (Rhein) Hbf;4;Rheinland-Pfalz;2,84 €;7,40 €;
650;ZÖPNV Süd;Bingen (Rhein) Stadt;4;Rheinland-Pfalz;2,84 €;7,40 €;
651;ZÖPNV Süd;Bingen-Gaulsheim;5;Rheinland-Pfalz;2,95 €;7,78 €;
652;NWL;Binolen;7;Nordrhein-Westfalen;2,48 €;6,41 €;
655;NWL;Birkelbach;6;Nordrhein-Westfalen;3,85 €;9,87 €;
656;VRN;Birkenau;6;Hessen;2,31 €;6,13 €;
659;VBB;Birkengrund;6;Brandenburg;3,98 €;10,22 €;
660;VBB;Birkenstein;4;Brandenburg;5,17 €;13,68 €;
661;VBB;Birkenwerder (b Berlin);4;Brandenburg;5,17 €;13,68 €;
662;TLBV;Birkungen;7;Thüringen;2,70 €;7,22 €;
663;ZVRP Nord;Birresborn;6;Rheinland-Pfalz;2,27 €;5,85 €;
665;VVO;Bischheim-Gersdorf;6;Sachsen;2,85 €;7,61 €;
671;ZVON;Bischofswerda;5;Sachsen;4,22 €;11,22 €;
672;BEG;Bischofswiesen;6;Bayern;2,89 €;7,59 €;
674;VM BW;Bisingen;6;Baden-Württemberg;2,35 €;6,18 €;
676;RH;Bissendorf;5;Niedersachsen;4,35 €;11,59 €;
678;ZVRP Nord;Bitburg-Erdorf;6;Rheinland-Pfalz;2,27 €;5,85 €;
679;VM BW;Bittelbronn;7;Baden-Württemberg;1,90 €;5,07 €;
680;NASA;Bitterfeld;3;Sachsen-Anhalt;6,59 €;17,26 €;
7434;VM BW;Bitzfeld;6;Baden-Württemberg;2,35 €;6,18 €;
681;BEG;Blaibach (Oberpf);7;Bayern;2,13 €;5,65 €;
682;BEG;Blaichach (Allgäu);6;Bayern;2,89 €;7,59 €;
683;VMV;Blankenberg (Meckl);6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
684;go.R;Blankenberg (Sieg);6;Nordrhein-Westfalen;3,77 €;8,76 €;
686;NASA;Blankenburg (Harz);5;Sachsen-Anhalt;3,29 €;8,62 €;
687;BWVI;Blankenese;3;Hamburg;2,76 €;7,25 €;
688;VBB;Blankenfelde (Kr Teltow-Fläming);4;Brandenburg;5,17 €;13,68 €;
689;NASA;Blankenheim (Kr Sangerhausen);6;Sachsen-Anhalt;3,34 €;8,90 €;
690;go.R;Blankenheim (Wald);6;Nordrhein-Westfalen;3,77 €;8,76 €;
692;VM BW;Blankenloch;5;Baden-Württemberg;2,91 €;7,35 €;
693;VMV;Blankensee (Meckl);6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
694;TLBV;Blankenstein (Saale);6;Thüringen;3,43 €;9,13 €;
695;VM BW;Blaubeuren;5;Baden-Württemberg;2,91 €;7,35 €;
698;VM BW;Blaustein;6;Baden-Württemberg;2,35 €;6,18 €;
699;TLBV;Blechhammer (Thür);7;Thüringen;2,70 €;7,22 €;
700;VM BW;Bleibach;6;Baden-Württemberg;2,35 €;6,18 €;
701;RMV;Bleichenbach (Oberhess);7;Hessen;1,88 €;4,96 €;
702;TLBV;Bleicherode Ost;5;Thüringen;3,74 €;9,97 €;
707;ZPS;Blieskastel-Lautzkirchen;6;Saarland;1,54 €;4,04 €;
708;BEG;Blindheim;6;Bayern;2,89 €;7,59 €;
709;VBB;Blönsdorf;6;Brandenburg;3,98 €;10,22 €;
710;VBB;Blumberg (b Berlin);5;Brandenburg;3,44 €;9,13 €;
8243;VBB;Blumberg-Rehhahn;7;Brandenburg;3,21 €;8,56 €;
713;VMV;Blumenhagen;6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
716;ZÖPNV Süd;Bobenheim;4;Rheinland-Pfalz;2,84 €;7,40 €;
717;BEG;Bobingen;4;Bayern;3,19 €;7,89 €;
718;VM BW;Böbingen (Rems);5;Baden-Württemberg;2,91 €;7,35 €;
719;VMV;Bobitz;7;Mecklenburg-Vorpommern;3,47 €;9,27 €;
720;VM BW;Böblingen;3;Baden-Württemberg;5,29 €;13,61 €;
721;VRN;Bobstadt;6;Hessen;2,31 €;6,13 €;
723;NWL;Bocholt;6;Nordrhein-Westfalen;3,85 €;9,87 €;
724;VRR;Bochum Hbf;2;Nordrhein-Westfalen;9,80 €;26,07 €;
726;VRR;Bochum West;6;Nordrhein-Westfalen;2,76 €;7,00 €;
727;VRR;Bochum-Dahlhausen;5;Nordrhein-Westfalen;2,32 €;5,93 €;
728;VRR;Bochum-Ehrenfeld;5;Nordrhein-Westfalen;2,32 €;5,93 €;
729;VRR;Bochum-Hamme;6;Nordrhein-Westfalen;2,76 €;7,00 €;
730;VRR;Bochum-Langendreer;4;Nordrhein-Westfalen;2,49 €;6,29 €;
731;VRR;Bochum-Langendreer West;4;Nordrhein-Westfalen;2,49 €;6,29 €;
725;VRR;Bochum-Riemke;6;Nordrhein-Westfalen;2,76 €;7,00 €;
7202;ZÖPNV Süd;Bockenheim-Kindenheim;6;Rheinland-Pfalz;1,99 €;5,22 €;
734;BEG;Bodelsberg;7;Bayern;2,13 €;5,65 €;
735;VM BW;Bodelshausen;6;Baden-Württemberg;2,35 €;6,18 €;
736;LNVG;Bodenburg;7;Niedersachsen;2,85 €;7,60 €;
738;LNVG;Bodenfelde;6;Niedersachsen;4,23 €;10,34 €;
739;ZÖPNV Süd;Bodenheim;4;Rheinland-Pfalz;2,84 €;7,40 €;
740;BEG;Bodenmais;6;Bayern;2,89 €;7,59 €;
741;TLBV;Bodenrode;7;Thüringen;2,70 €;7,22 €;
743;BEG;Bodenwöhr Nord;5;Bayern;2,72 €;7,01 €;
746;BEG;Bogen;6;Bayern;2,89 €;7,59 €;
749;ZVNL;Böhlen (b Leipzig);6;Sachsen;2,56 €;6,83 €;
750;ZVNL;Böhlen Werke;5;Sachsen;3,24 €;8,61 €;
747;ZÖPNV Süd;Böhl-Iggelheim;5;Rheinland-Pfalz;2,95 €;7,78 €;
752;BEG;Böhmhof;7;Bayern;2,13 €;5,65 €;
753;LNVG;Bohmte;5;Niedersachsen;4,79 €;12,40 €;
756;VM BW;Böhringen-Rickelshausen;6;Baden-Württemberg;2,35 €;6,18 €;
757;VRR;Boisheim;6;Nordrhein-Westfalen;2,76 €;7,00 €;
758;VMV;Boizenburg (Elbe);6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
762;VM BW;Bondorf (b Herrenberg);5;Baden-Württemberg;2,91 €;7,35 €;
763;NWL;Bönen;5;Nordrhein-Westfalen;3,91 €;9,89 €;
4568;NWL;Bönen-Nordbögge;6;Nordrhein-Westfalen;3,85 €;9,87 €;
767;go.R;Bonn Hbf;2;Nordrhein-Westfalen;17,01 €;44,74 €;
3176;go.R;Bonn Helmholtzstraße;6;Nordrhein-Westfalen;3,77 €;8,76 €;
8213;go.R;Bonn UN Campus;5;Nordrhein-Westfalen;2,69 €;7,09 €;
768;go.R;Bonn-Bad Godesberg;3;Nordrhein-Westfalen;5,27 €;13,91 €;
769;go.R;Bonn-Beuel;4;Nordrhein-Westfalen;2,69 €;6,76 €;
770;go.R;Bonn-Duisdorf;6;Nordrhein-Westfalen;3,77 €;8,76 €;
2013;go.R;Bonn-Endenich Nord;6;Nordrhein-Westfalen;3,77 €;8,76 €;
771;go.R;Bonn-Mehlem;4;Nordrhein-Westfalen;2,69 €;6,76 €;
772;go.R;Bonn-Oberkassel;5;Nordrhein-Westfalen;2,69 €;7,09 €;
773;LNVG;Bookholzberg;6;Niedersachsen;4,23 €;10,34 €;
775;VM BW;Bopfingen;6;Baden-Württemberg;2,35 €;6,18 €;
776;ZVRP Nord;Boppard Hbf;4;Rheinland-Pfalz;4,57 €;11,36 €;
7981;ZVRP Nord;Boppard Süd;7;Rheinland-Pfalz;2,00 €;4,62 €;
330;ZVRP Nord;Boppard-Bad Salzig;5;Rheinland-Pfalz;2,59 €;5,24 €;
940;ZVRP Nord;Boppard-Buchholz;7;Rheinland-Pfalz;2,00 €;4,62 €;
1807;ZVRP Nord;Boppard-Fleckertshöhe;7;Rheinland-Pfalz;2,00 €;4,62 €;
2794;ZVRP Nord;Boppard-Hirzenach;6;Rheinland-Pfalz;2,27 €;5,85 €;
778;NAH.SH;Bordesholm;5;Schleswig-Holstein;3,75 €;9,91 €;
779;NWL;Borgeln;6;Nordrhein-Westfalen;3,85 €;9,87 €;
780;NWL;Borgholzhausen;7;Nordrhein-Westfalen;2,48 €;6,41 €;
782;VBB;Borgsdorf;5;Brandenburg;3,44 €;9,13 €;
783;NWL;Bork (Westf);6;Nordrhein-Westfalen;3,85 €;9,87 €;
784;NVV;Borken (Hess);5;Hessen;1,98 €;5,13 €;
785;NWL;Borken (Westf);6;Nordrhein-Westfalen;3,85 €;9,87 €;
786;VBB;Borkheide;6;Brandenburg;3,98 €;10,22 €;
788;ZVNL;Borna (b Leipzig);5;Sachsen;3,24 €;8,61 €;
790;NASA;Börnecke (Harz);7;Sachsen-Anhalt;2,77 €;7,39 €;
5773;go.R;Bornheim-Sechtem;4;Nordrhein-Westfalen;2,69 €;6,76 €;
791;VBB Berlin;Bornholmer Straße;4;Berlin;2,00 €;5,33 €;
796;RMV;Borsdorf (Hess);6;Hessen;2,48 €;6,52 €;
797;ZVNL;Borsdorf (Sachs);5;Sachsen;3,24 €;8,61 €;
798;RVB;Börßum;6;Niedersachsen;4,87 €;10,77 €;
799;NASA;Bösdorf (Sachs-Anh);6;Sachsen-Anhalt;3,34 €;8,90 €;
801;NWL;Bösperde;6;Nordrhein-Westfalen;3,85 €;9,87 €;
803;VBB Berlin;Botanischer Garten;4;Berlin;2,00 €;5,33 €;
804;VRR;Bottrop Hbf;4;Nordrhein-Westfalen;2,49 €;6,29 €;
805;VRR;Bottrop-Boy;6;Nordrhein-Westfalen;2,76 €;7,00 €;
806;VRR;Bottrop-Vonderort;7;Nordrhein-Westfalen;2,87 €;7,64 €;
807;ZPS;Bous (Saar);6;Saarland;1,54 €;4,04 €;
7994;VM BW;Boxberg-Wölchingen;7;Baden-Württemberg;1,90 €;5,07 €;
809;ZVRP Nord;Brachbach;5;Rheinland-Pfalz;2,59 €;5,24 €;
810;go.R;Brachelen;6;Nordrhein-Westfalen;3,77 €;8,76 €;
813;VMV;Brahlstorf;6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
814;NWL;Brake (b Bielefeld);5;Nordrhein-Westfalen;3,91 €;9,89 €;
815;LNVG;Brake (Unterweser);5;Niedersachsen;4,79 €;12,40 €;
816;NWL;Brakel (Kr Höxter);6;Nordrhein-Westfalen;3,85 €;9,87 €;
818;LNVG;Bramsche;5;Niedersachsen;4,79 €;12,40 €;
819;LNVG;Bramstedt (b Syke);6;Niedersachsen;4,23 €;10,34 €;
820;VBB;Brand Tropical Islands;6;Brandenburg;3,98 €;10,22 €;
823;VBB;Brandenburg Hbf;3;Brandenburg;7,57 €;20,21 €;
825;VBB;Brandenburg-Altstadt;7;Brandenburg;3,21 €;8,56 €;
828;BEG;Brannenburg;4;Bayern;3,19 €;7,89 €;
829;ZVRP Nord;Braubach;6;Rheinland-Pfalz;2,27 €;5,85 €;
833;NASA;Braunsbedra;6;Sachsen-Anhalt;3,34 €;8,90 €;
